name,category,container,instructions,image,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
The Laverstoke,Cocktail,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",https://www.thecocktaildb.com/images/media/drink/6xfj5t1517748412.jpg,Gin,Elderflower cordial,Rosso Vermouth,Tonic Water,Lime,Ginger,Mint,,,,,,,,,50 ml,15 ml,15 ml,75 ml,2 Wedges,1 Slice,1 Large Sprig,,,,,,,,
Coke and Drops,Soft Drink,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Coca-Cola,Lemon juice,,,,,,,,,,,,,,1 dl ,7 drops ,,,,,,,,,,,,,
Thriller,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Scotch,Wine,Orange juice,,,,,,,,,,,,,1 1/2 oz ,1 oz Green Ginger ,1 oz ,,,,,,,,,,,,
Owen's Grandmother's Revenge,Ordinary Drink,Highball glass,Add ingredients and mix in blender.,https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Whiskey,Beer,Lemonade,Ice,,,,,,,,,,,,12 oz ,12 oz ,12 oz frozen ,1 cup crushed ,,,,,,,,,,,
Kill the cold Smoothie,Other / Unknown,Highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Ginger,Lemon,Water,,,,,,,,,,,,,1 inch ,1/4 ,1 cup hot ,,,,,,,,,,,,
Old Pal,Cocktail,Nick and Nora Glass,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.",https://www.thecocktaildb.com/images/media/drink/x03td31521761009.jpg,Rye whiskey,Campari,Dry Vermouth,,,,,,,,,,,,,2 oz,1 oz,1 oz,,,,,,,,,,,,
Arizona Stingers,Cocktail,Hurricane glass,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,Absolut Vodka,Iced tea,,,,,,,,,,,,,,2 shots ,12 oz lemon ,,,,,,,,,,,,,
San Francisco,Ordinary Drink,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",https://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,,2 cl ,2 cl ,,,,,,,,,,,,,
Thai Iced Tea,Coffee / Tea,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",https://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Tea,Water,Condensed milk,Ice,Mint,,,,,,,,,,,1/4 cup Thai ,1/2 cup boiling ,2 tsp sweetened ,cubes,garnish,,,,,,,,,,
Turf Cocktail,Ordinary Drink,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,,,,,,,1 oz ,1 oz ,1/4 tsp ,2 dashes ,Twist of ,,,,,,,,,,
Cuba Libra,Ordinary Drink,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Dark rum,Lime,Coca-Cola,Ice,,,,,,,,,,,,1-2 shot ,Squeeze ,Fill with ,,,,,,,,,,,,
London Town,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Gin,Maraschino liqueur,Orange bitters,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,
Amaretto Tea,Ordinary Drink,Pousse cafe glass,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Tea,Amaretto,Whipped cream,,,,,,,,,,,,,6 oz hot ,2 oz ,Chilled ,,,,,,,,,,,,
Gin Lemon,Cocktail,Highball glass,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,Gin,Lemon Juice,Lemon Peel,Ice,,,,,,,,,,,,6 cl,8 cl,1 Slice,cubes,,,,,,,,,,,
Butterfly Effect,Cocktail,Hurricane glass,"Grab your boston tin, fill it with cubes ice and then simply chuck in all your ingredients apart from your lemonade.
Now it’s time to shake what your mama gave you until all your ingredients are blended to perfection.
Add some cubes of ice to your hurricane glass, give them a swill to cool the whole thing down and then strain your raspberry vodka cocktail of wonder into the glass.
Top with lemonade and chuck a sprig of mint on top for garnish.
You can either get drinking at this point or go and try and grab a few butterflies to finish, the choice really is yours.",https://www.thecocktaildb.com/images/media/drink/ht3hnk1619704289.jpg,Raspberry Vodka,Cranberry Juice,Lemonade,Blue Curacao,Sugar Syrup,Lime Juice,Mint,,,,,,,,,50 ml,25 ml,25 ml,10 ml,10 ml,Dash,Sprig,,,,,,,,
Long vodka,Ordinary Drink,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,,,,,,,5 cl ,1/2 ,4 dashes ,1 dl Schweppes ,4 ,,,,,,,,,,
Godfather,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,Scotch,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
Death in the Afternoon,Cocktail,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,Absinthe,Champagne,,,,,,,,,,,,,,2 shots,Top,,,,,,,,,,,,,
A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,shake vigorously,https://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with ,,,,,,,,,,,
Boxcar,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,
Abbey Cocktail,Ordinary Drink,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/mr30ob1582479875.jpg,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1 ,,,,,,,,,,,
Frozen Daiquiri,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,,,,,,1 1/2 oz ,1 tblsp ,1 1/2 oz ,1 tsp ,1 ,1 cup crushed ,,,,,,,,,
Adam Bomb,Punch / Party Drink,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
California Lemonade,Ordinary Drink,Collins glass,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,https://www.thecocktaildb.com/images/media/drink/q5z4841582484168.jpg,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,,,,,,2 oz ,Juice of 1 ,Juice of 1 ,1 tblsp,1/4 tsp,,,,,,,,,,
Quentin,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",https://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,1/8 tsp grated ,,,,,,,,,,,
Port And Starboard,Ordinary Drink,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",https://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Grenadine,Green Creme de Menthe,,,,,,,,,,,,,,1 tblsp ,1/2 oz ,,,,,,,,,,,,,
Kir Royale,Ordinary Drink,Champagne Flute,"Pour Creme de cassis in glass, gently pour champagne on top",https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Creme de Cassis,Champagne,,,,,,,,,,,,,,1 part ,5 parts ,,,,,,,,,,,,,
Grass Skirt,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1/2 tsp ,1 ,,,,,,,,,,
Baby Eskimo,Shake,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,Kahlua,Milk,Vanilla ice-cream,,,,,,,,,,,,,2 oz ,8 oz ,2 scoops ,,,,,,,,,,,,
Apple Berry Smoothie,Other / Unknown,Highball Glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Berries,Apple,,,,,,,,,,,,,,1 cup ,2 ,,,,,,,,,,,,,
The Galah,Cocktail,Collins glass,Mix together the alcoholic portions and top with Pineapple and Lime juice.,https://www.thecocktaildb.com/images/media/drink/sy7y6r1614775067.jpg,Dark Rum,Campari,Creme De Banane,Pineapple Juice,Lime Juice,,,,,,,,,,,1 shot,1 shot,1/2 shot,Top,Top,,,,,,,,,,
Negroni,Ordinary Drink,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg,Gin,Campari,Sweet Vermouth,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Michelada,Cocktail,Pint glass,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg,Beer,Tomato Juice,Lime Juice,Hot Sauce,Worcestershire Sauce,Soy Sauce,,,,,,,,,,4 oz,4 oz,1 tblsp,Dash,Dash,Dash,,,,,,,,,
English Rose Cocktail,Ordinary Drink,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,,,,,,3/4 oz ,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1 ,,,,,,,,,
Kool-Aid Slammer,Shot,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Kool-Aid,Vodka,,,,,,,,,,,,,,1/2 oz Grape ,1/2 oz ,,,,,,,,,,,,,
501 Blue,Ordinary Drink,Collins Glass,Mix equal amounts into a glass with ice.,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Colonel,Ordinary Drink,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Bourbon,Benedictine,Lemon peel,,,,,,,,,,,,,3 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,,
Blue Margarita,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,Coarse ,,,,,,,,,,,
Sol Y Sombra,Ordinary Drink,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy,Anisette,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,,,
Alabama Slammer,Ordinary Drink,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",https://www.thecocktaildb.com/images/media/drink/jntghf1606771886.jpg,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash ,,,,,,,,,,,
Sherry Eggnog,Ordinary Drink,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",https://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,,,,2 oz cream ,1 tsp ,1 whole ,,,,,,,,,,,,
Bora Bora,Cocktail,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,
Hemingway Special,Ordinary Drink,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,,,,12 parts,8 parts,3 parts,3 parts,,,,,,,,,,,
Quaker's Cocktail,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/4 ,2 tsp ,,,,,,,,,,,
Creme de Menthe,Homemade Liqueur,Collins Glass,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,https://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,,,,,,,8 cups ,6 cups ,1 pint ,1 oz pure ,1 tblsp green ,,,,,,,,,,
Sex on the Beach,Ordinary Drink,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,https://www.thecocktaildb.com/images/media/drink/fi67641668420787.jpg,Vodka,Peach schnapps,Cranberry juice,Orange juice,,,,,,,,,,,,1 oz ,3/4 oz ,,,,,,,,,,,,,
Bahama Mama,Cocktail,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,,,,,,,3 parts,1 part,1 part,1 part,2 parts,2 parts,1 part,,,,,,,,
Frisco Sour,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,,,,,,2 oz ,1/2 oz ,Juice of 1/4 ,Juice of 1/2 ,1 slice ,1 slice ,,,,,,,,,
The Philosopher,Cocktail,Margarita glass,"Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.",https://www.thecocktaildb.com/images/media/drink/sp8hkp1596017787.jpg,Gin,Melon Liqueur,Orange Bitters,Lemon Juice,Prosecco,,,,,,,,,,,1 shot,1 shot,1 dash,1 dash,Top,,,,,,,,,,
151 Florida Bushwacker,Shake,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup ,,,,,,,
Addison Special,Cocktail,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,
Aviation,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,
Scottish Highland Liqueur,Homemade Liqueur,Collins Glass,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",https://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Johnnie Walker,Honey,Angelica root,Fennel seeds,Lemon peel,,,,,,,,,,,1 fifth ,1 1/2 cup mild ,2 tsp dried and chopped ,1/4 tsp crushed ,2 2 inch strips ,,,,,,,,,,
Cocktail Horse’s Neck,Cocktail,Highball glass,"Wash and brush an organic, untreated lemon, then cut a spiral of lemon peel, using a citrus peel. If it is too large, cut it with a sharp knife.

Put some ice in a tall tumbler glass, place the lemon peel inside and pour the cognac, add the ginger beer and let 2-3 drops of Angostura fall into it. Easy to do, but once you try it you'll love it.",https://www.thecocktaildb.com/images/media/drink/4vobt21643844913.jpg,Cognac,Ginger Beer,Angostura Bitters,Lemon Peel,,,,,,,,,,,,4 cl,100 ml,3 drops,1,,,,,,,,,,,
Afternoon,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,,,,,,,,,,,
Strawberry Shivers,Other / Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Strawberries,Honey,Water,,,,,,,,,,,,,1 1/2 cup ,4 tsp ,1/2 cup ,,,,,,,,,,,,
Hot Toddy,Cocktail,Irish coffee cup,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,Whiskey,Honey,Cinnamon,lemon,Cloves,,,,,,,,,,,50 ml,15 ml,1,1,2,,,,,,,,,,
Adam Sunrise,Ordinary Drink,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,
Lassi - Sweet,Other / Unknown,Highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,https://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Yoghurt,Water,Sugar,Salt,Lemon juice,,,,,,,,,,,1 cup ,2 cups cold ,4 tblsp ,pinch ,2 tblsp ,,,,,,,,,,
Dark Caipirinha,Cocktail,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,demerara Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp ,1,2 1/2 oz,,,,,,,,,,,,
Absolut Stress #2,Ordinary Drink,Collins Glass,Mix well. Garnish with Orange and Cherry. Enjoy,https://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,
Casa Blanca,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,,,,,,,2 oz ,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,,,,,,,,,,,
A Splash of Nash,Shot,Highball glass,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,https://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,,,,2 oz ,2 oz ,0.5 oz ,0.5 oz ,,,,,,,,,,,
Bleeding Surgeon,Soft Drink,Collins glass,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",https://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Dark rum,Orange,Surge,Cranberry juice,,,,,,,,,,,,1 shot ,1 slice ,1/2 glass ,1/2 glass ,,,,,,,,,,,
Grasshopper,Ordinary Drink,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,,,,,,3/4 oz ,3/4 oz white ,3/4 oz ,,,,,,,,,,,,
After sex,Ordinary Drink,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,
Gluehwein,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Red wine,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,,,,,,,,1 L ,125 ml ,60 gr ,1 ,3 ,1 tblsp ,,,,,,,,,
Surf City Lifesaver,Ordinary Drink,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.,https://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Ouzo,Baileys irish cream,Gin,Grand Marnier,,,,,,,,,,,,1 part ,1 part ,2 parts ,1/2 part ,,,,,,,,,,,
Kool First Aid,Shot,Shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,151 proof rum,Kool-Aid,,,,,,,,,,,,,,2 oz light ,1/2 tsp Tropical ,,,,,,,,,,,,,
Zambeer,Soft Drink,Collins Glass,Mix sambuca with rootbeer and stir. Add ice,https://www.thecocktaildb.com/images/media/drink/bje5401485619578.jpg,Sambuca,Root beer,Ice,,,,,,,,,,,,,1 1/2 oz ,Add 10 oz ,cubes,,,,,,,,,,,,
Barracuda,Ordinary Drink,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,,,,,
